,Unnamed: 0,target,source,targ_word,src_word,alternatives,analogy_type
24,24,c f e d g,c d e f g,20 21 23 22 24,20 21 22 23 24,,letter_analogy_letter2num
25,25,f g h i,f g h i j,5 6 7 8,5 6 7 8 9,,letter_analogy_letter2num
26,26,q p r s t,p q r s t,2 3 5 4 6,2 3 4 5 6,,letter_analogy_letter2num
27,27,q r s t,p r s t,23 24 25 26,22 24 25 26,,letter_analogy_letter2num
28,28,e j g h i,e f g h i,11 12 13 18 15,11 12 13 14 15,,letter_analogy_letter2num
29,29,t u v w,s u v w,4 5 6 7,3 5 6 7,,letter_analogy_letter2num
30,30,n o p q,n o p r,5 6 7 8,5 6 7 9,,letter_analogy_letter2num
31,31,p q r s,p q r t,19 20 21 22,19 20 21 23,,letter_analogy_letter2num
32,32,p q r s s t,p q r s t,6 7 8 9 9 10,6 7 8 9 10,,letter_analogy_letter2num
33,33,c d e f,b d e f,10 11 12 13,9 11 12 13,,letter_analogy_letter2num
34,34,e f g h,d f g h,14 15 16 17,13 15 16 17,,letter_analogy_letter2num
35,35,u t s v w,s t u v w,6 3 4 5 2,2 3 4 5 6,,letter_analogy_letter2num
36,36,m n j p q,m n o p q,18 13 20 21 22,18 19 20 21 22,,letter_analogy_letter2num
37,37,h l j k i,h i j k l,15 12 13 14 11,11 12 13 14 15,,letter_analogy_letter2num
38,38,d e g f h,d e f g h,8 9 11 10 12,8 9 10 11 12,,letter_analogy_letter2num
39,39,k l m m n o,k l m n o,6 7 8 8 9 10,6 7 8 9 10,,letter_analogy_letter2num
40,40,n o p q q r,n o p q r,9 10 10 11 12 13,9 10 11 12 13,,letter_analogy_letter2num
41,41,p q r s,p q r s t,12 13 14 15,12 13 14 15 16,,letter_analogy_letter2num
42,42,i j k l,i j k l m,13 14 15 16,13 14 15 16 17,,letter_analogy_letter2num
43,43,e f g h,e f g i,10 11 12 13,10 11 12 14,,letter_analogy_letter2num
44,44,j k l m,j k l m n,18 19 20 21,18 19 20 21 22,,letter_analogy_letter2num
45,45,n o p q,n o p q r,21 22 23 24,21 22 23 24 25,,letter_analogy_letter2num
46,46,j k l m,j k l n,22 23 24 25,22 23 24 26,,letter_analogy_letter2num
47,47,c d e f,c d e f g,9 10 11 12,9 10 11 12 13,,letter_analogy_letter2num
48,48,g h i j,g h i j k,15 16 17 18,15 16 17 18 19,,letter_analogy_letter2num
49,49,i j k l p,i j k l m,18 19 20 21 25,18 19 20 21 22,,letter_analogy_letter2num
50,50,d c b e f,b c d e f,20 18 19 17 21,17 18 19 20 21,,letter_analogy_letter2num
51,51,r s t u,q s t u,4 5 6 7,3 5 6 7,,letter_analogy_letter2num
52,52,y s t u v,r s t u v,19 20 21 8 23,19 20 21 22 23,,letter_analogy_letter2num
53,53,f g h i,e g h i,7 8 9 10,6 8 9 10,,letter_analogy_letter2num
54,54,i j m l k,i j k l m,19 20 23 22 21,19 20 21 22 23,,letter_analogy_letter2num
55,55,i j k l,i j k m,3 4 5 6,3 4 5 7,,letter_analogy_letter2num
56,56,t u v w,s u v w,17 18 19 20,16 18 19 20,,letter_analogy_letter2num
57,57,c d e f,c d e g,11 12 13 14,11 12 13 15,,letter_analogy_letter2num
58,58,n o p q,m o p q,4 5 6 7,3 5 6 7,,letter_analogy_letter2num
59,59,u v x w y,u v w x y,6 5 7 8 9,5 6 7 8 9,,letter_analogy_letter2num
60,60,l f n o p,l m n o p,22 23 19 25 26,22 23 24 25 26,,letter_analogy_letter2num
61,61,h i j k l l,h i j k l,1 2 3 3 4 5,1 2 3 4 5,,letter_analogy_letter2num
62,62,d e f g,d e f h,6 7 8 9,6 7 8 10,,letter_analogy_letter2num
63,63,r s t u,r s t v,12 13 14 15,12 13 14 16,,letter_analogy_letter2num
64,64,c d e f,c d e f g,11 12 13 14,11 12 13 14 15,,letter_analogy_letter2num
65,65,o p q r s s,o p q r s,18 19 19 20 21 22,18 19 20 21 22,,letter_analogy_letter2num
66,66,v w z y x,v w x y z,17 21 19 20 18,17 18 19 20 21,,letter_analogy_letter2num
67,67,p t r s q,p q r s t,20 22 21 23 24,20 21 22 23 24,,letter_analogy_letter2num
68,68,k l m n,j l m n,19 20 21 22,18 20 21 22,,letter_analogy_letter2num
69,69,o p q r,n p q r,18 19 20 21,17 19 20 21,,letter_analogy_letter2num
70,70,b c c d e f,b c d e f,22 23 24 25 25 26,22 23 24 25 26,,letter_analogy_letter2num
71,71,b c d e,b c d e f,10 11 12 13,10 11 12 13 14,,letter_analogy_letter2num
72,72,e f g h,d f g h,20 21 22 23,19 21 22 23,,letter_analogy_letter2num
73,73,t x v w u,t u v w x,8 5 6 7 4,4 5 6 7 8,,letter_analogy_letter2num
74,74,e e f g h i,e f g h i,10 11 12 13 14 14,10 11 12 13 14,,letter_analogy_letter2num
75,75,r s t w v,r s t u v,3 8 9 10 11,7 8 9 10 11,,letter_analogy_letter2num
76,76,t u v x w,t u v w x,18 15 16 17 14,14 15 16 17 18,,letter_analogy_letter2num
77,77,k l m m n o,k l m n o,4 5 5 6 7 8,4 5 6 7 8,,letter_analogy_letter2num
78,78,n o p q,n o p r,10 11 12 13,10 11 12 14,,letter_analogy_letter2num
79,79,k l m n,k l m n o,13 14 15 16,13 14 15 16 17,,letter_analogy_letter2num
80,80,u v v w x y,u v w x y,18 19 20 21 21 22,18 19 20 21 22,,letter_analogy_letter2num
81,81,b c d d e f,b c d e f,15 16 17 18 19 19,15 16 17 18 19,,letter_analogy_letter2num
82,82,e f g h i i,e f g h i,12 13 14 15 15 16,12 13 14 15 16,,letter_analogy_letter2num
83,83,f g i h j,f g h i j,19 18 20 21 22,18 19 20 21 22,,letter_analogy_letter2num
84,84,u v w x,u v w x y,18 19 20 21,18 19 20 21 22,,letter_analogy_letter2num
85,85,e f g h,e f g h i,3 4 5 6,3 4 5 6 7,,letter_analogy_letter2num
86,86,d e f h g,d e f g h,14 13 15 16 17,13 14 15 16 17,,letter_analogy_letter2num
87,87,l m n o,l m n o p,11 12 13 14,11 12 13 14 15,,letter_analogy_letter2num
88,88,j k l m,j k l n,9 10 11 12,9 10 11 13,,letter_analogy_letter2num
89,89,n o p q,n o p q r,6 7 8 9,6 7 8 9 10,,letter_analogy_letter2num
90,90,d e f g,d e f g h,11 12 13 14,11 12 13 14 15,,letter_analogy_letter2num
91,91,h i j k l l,h i j k l,4 5 6 6 7 8,4 5 6 7 8,,letter_analogy_letter2num
92,92,v w x y,v w x z,15 16 17 18,15 16 17 19,,letter_analogy_letter2num
93,93,c b d e f,b c d e f,6 10 8 9 7,6 7 8 9 10,,letter_analogy_letter2num
94,94,c d e f h,c d e f g,14 15 11 17 18,14 15 16 17 18,,letter_analogy_letter2num
95,95,l m n o,l m n p,15 16 17 18,15 16 17 19,,letter_analogy_letter2num
96,96,i j k w m,i j k l m,10 11 7 13 14,10 11 12 13 14,,letter_analogy_letter2num
97,97,l m n o,k m n o,6 7 8 9,5 7 8 9,,letter_analogy_letter2num
98,98,i i j k l m,i j k l m,21 22 23 23 24 25,21 22 23 24 25,,letter_analogy_letter2num
99,99,k l m d o,k l m n o,11 20 21 22 23,19 20 21 22 23,,letter_analogy_letter2num
0,0,b c d f e,b c d e f,i f g h e,e f g h i,,letter_analogy_sort
1,1,b a c d e,a b c d e,p s r q t,p q r s t,,letter_analogy_sort
2,2,u v x w y,u v w x y,t v u w x,t u v w x,,letter_analogy_sort
3,3,q r u t s,q r s t u,p o n q r,n o p q r,,letter_analogy_sort
4,4,a b e d c,a b c d e,y v w x u,u v w x y,,letter_analogy_sort
5,5,c b a d e,a b c d e,n o p r q,n o p q r,,letter_analogy_sort
6,6,l m o n p,l m n o p,n r p q o,n o p q r,,letter_analogy_sort
7,7,o l m n k,k l m n o,l n m o p,l m n o p,,letter_analogy_sort
8,8,o n p q r,n o p q r,d c e f g,c d e f g,,letter_analogy_sort
9,9,m p o n q,m n o p q,x v w u y,u v w x y,,letter_analogy_sort
10,10,k l o n m,k l m n o,e f i h g,e f g h i,,letter_analogy_sort
11,11,t s r u v,r s t u v,i j l k m,i j k l m,,letter_analogy_sort
12,12,b c e d f,b c d e f,l k m n o,k l m n o,,letter_analogy_sort
13,13,t u v x w,t u v w x,h i k j l,h i j k l,,letter_analogy_sort
14,14,l o n m p,l m n o p,c d f e g,c d e f g,,letter_analogy_sort
15,15,r s t v u,r s t u v,n r p q o,n o p q r,,letter_analogy_sort
16,16,w u v t x,t u v w x,l i j k h,h i j k l,,letter_analogy_sort
17,17,c b a d e,a b c d e,r s v u t,r s t u v,,letter_analogy_sort
18,18,m l n o p,l m n o p,u r s t q,q r s t u,,letter_analogy_sort
19,19,o n p q r,n o p q r,a c b d e,a b c d e,,letter_analogy_sort
20,20,u y w x v,u v w x y,q p o r s,o p q r s,,letter_analogy_sort
21,21,f c d e b,b c d e f,i m k l j,i j k l m,,letter_analogy_sort
22,22,h i k j l,h i j k l,a c b d e,a b c d e,,letter_analogy_sort
23,23,v u t w x,t u v w x,i m k l j,i j k l m,,letter_analogy_sort
24,24,i h j k l,h i j k l,p r q s t,p q r s t,,letter_analogy_sort
25,25,h l j k i,h i j k l,g f e h i,e f g h i,,letter_analogy_sort
26,26,v y x w z,v w x y z,a b d c e,a b c d e,,letter_analogy_sort
27,27,j k n m l,j k l m n,g h i k j,g h i j k,,letter_analogy_sort
28,28,i j l k m,i j k l m,r o p q n,n o p q r,,letter_analogy_sort
29,29,c d e g f,c d e f g,o l m n k,k l m n o,,letter_analogy_sort
30,30,j h i g k,g h i j k,u v w y x,u v w x y,,letter_analogy_sort
31,31,u r s t q,q r s t u,a b e d c,a b c d e,,letter_analogy_sort
32,32,s u t v w,s t u v w,g e f d h,d e f g h,,letter_analogy_sort
33,33,u v y x w,u v w x y,i g h f j,f g h i j,,letter_analogy_sort
34,34,h g f i j,f g h i j,g j i h k,g h i j k,,letter_analogy_sort
35,35,j n l m k,j k l m n,o n m p q,m n o p q,,letter_analogy_sort
36,36,c e d f g,c d e f g,h e f g d,d e f g h,,letter_analogy_sort
37,37,c d e g f,c d e f g,p o q r s,o p q r s,,letter_analogy_sort
38,38,c g e f d,c d e f g,n q p o r,n o p q r,,letter_analogy_sort
39,39,s v u t w,s t u v w,v w z y x,v w x y z,,letter_analogy_sort
40,40,h f g e i,e f g h i,t u w v x,t u v w x,,letter_analogy_sort
41,41,s p q r o,o p q r s,l m n p o,l m n o p,,letter_analogy_sort
42,42,v t u s w,s t u v w,n m l o p,l m n o p,,letter_analogy_sort
43,43,d c e f g,c d e f g,q s r t u,q r s t u,,letter_analogy_sort
44,44,g f e h i,e f g h i,h i k j l,h i j k l,,letter_analogy_sort
45,45,a b c e d,a b c d e,n k l m j,j k l m n,,letter_analogy_sort
46,46,e c d b f,b c d e f,j k l n m,j k l m n,,letter_analogy_sort
47,47,c d e g f,c d e f g,g e f d h,d e f g h,,letter_analogy_sort
48,48,c f e d g,c d e f g,n k l m j,j k l m n,,letter_analogy_sort
49,49,k h i j g,g h i j k,c b d e f,b c d e f,,letter_analogy_sort
50,50,a c b d e,a b c d e,w u v t x,t u v w x,,letter_analogy_sort
51,51,h g i j k,g h i j k,f g i h j,f g h i j,,letter_analogy_sort
52,52,l m n p o,l m n o p,g f h i j,f g h i j,,letter_analogy_sort
53,53,e f g i h,e f g h i,n o r q p,n o p q r,,letter_analogy_sort
54,54,f e d g h,d e f g h,p q s r t,p q r s t,,letter_analogy_sort
55,55,t u w v x,t u v w x,i m k l j,i j k l m,,letter_analogy_sort
56,56,q s r t u,q r s t u,h e f g d,d e f g h,,letter_analogy_sort
57,57,n m l o p,l m n o p,n k l m j,j k l m n,,letter_analogy_sort
58,58,f i h g j,f g h i j,e d f g h,d e f g h,,letter_analogy_sort
59,59,r o p q n,n o p q r,s q r p t,p q r s t,,letter_analogy_sort
60,60,d e g f h,d e f g h,q u s t r,q r s t u,,letter_analogy_sort
61,61,s u t v w,s t u v w,n m o p q,m n o p q,,letter_analogy_sort
62,62,r u t s v,r s t u v,g d e f c,c d e f g,,letter_analogy_sort
63,63,g e f d h,d e f g h,q r t s u,q r s t u,,letter_analogy_sort
64,64,p r q s t,p q r s t,s r q t u,q r s t u,,letter_analogy_sort
65,65,f d e c g,c d e f g,g e f d h,d e f g h,,letter_analogy_sort
66,66,s r t u v,r s t u v,o r q p s,o p q r s,,letter_analogy_sort
67,67,p q s r t,p q r s t,l p n o m,l m n o p,,letter_analogy_sort
68,68,m n p o q,m n o p q,k j i l m,i j k l m,,letter_analogy_sort
69,69,q s r t u,q r s t u,v w x z y,v w x y z,,letter_analogy_sort
70,70,j i k l m,i j k l m,q r s u t,q r s t u,,letter_analogy_sort
71,71,r s v u t,r s t u v,p q s r t,p q r s t,,letter_analogy_sort
72,72,t s r u v,r s t u v,u y w x v,u v w x y,,letter_analogy_sort
73,73,v y x w z,v w x y z,o l m n k,k l m n o,,letter_analogy_sort
74,74,i m k l j,i j k l m,b c f e d,b c d e f,,letter_analogy_sort
75,75,o p s r q,o p q r s,y v w x u,u v w x y,,letter_analogy_sort
76,76,v y x w z,v w x y z,p o q r s,o p q r s,,letter_analogy_sort
77,77,d c e f g,c d e f g,n o q p r,n o p q r,,letter_analogy_sort
78,78,b c f e d,b c d e f,n o q p r,n o p q r,,letter_analogy_sort
79,79,i k j l m,i j k l m,d c b e f,b c d e f,,letter_analogy_sort
80,80,p q r t s,p q r s t,u t s v w,s t u v w,,letter_analogy_sort
81,81,c d f e g,c d e f g,r q p s t,p q r s t,,letter_analogy_sort
82,82,m q o p n,m n o p q,i j l k m,i j k l m,,letter_analogy_sort
83,83,q r s u t,q r s t u,o r q p s,o p q r s,,letter_analogy_sort
84,84,e c d b f,b c d e f,j i k l m,i j k l m,,letter_analogy_sort
85,85,u t s v w,s t u v w,h g f i j,f g h i j,,letter_analogy_sort
86,86,m l k n o,k l m n o,v t u s w,s t u v w,,letter_analogy_sort
87,87,a c b d e,a b c d e,p q t s r,p q r s t,,letter_analogy_sort
88,88,b d c e f,b c d e f,d f e g h,d e f g h,,letter_analogy_sort
89,89,k m l n o,k l m n o,b a c d e,a b c d e,,letter_analogy_sort
90,90,b e d c f,b c d e f,r o p q n,n o p q r,,letter_analogy_sort
91,91,h j i k l,h i j k l,n o r q p,n o p q r,,letter_analogy_sort
92,92,t v u w x,t u v w x,r s v u t,r s t u v,,letter_analogy_sort
93,93,q o p n r,n o p q r,m j k l i,i j k l m,,letter_analogy_sort
94,94,b d c e f,b c d e f,m p o n q,m n o p q,,letter_analogy_sort
95,95,g d e f c,c d e f g,j m l k n,j k l m n,,letter_analogy_sort
96,96,m n o q p,m n o p q,t s r u v,r s t u v,,letter_analogy_sort
97,97,v u t w x,t u v w x,m n q p o,m n o p q,,letter_analogy_sort
98,98,b d c e f,b c d e f,j k m l n,j k l m n,,letter_analogy_sort
99,99,j i h k l,h i j k l,i f g h e,e f g h i,,letter_analogy_sort
0,0,t u v w,t u v x,p q r s,p q r t,,letter_analogy_succ
1,1,v w x y,v w x z,i j k l,i j k m,,letter_analogy_succ
2,2,n o p q,n o p r,f g h i,f g h j,,letter_analogy_succ
3,3,r s t u,r s t v,c d e f,c d e g,,letter_analogy_succ
4,4,i j k l,i j k m,j k l m,j k l n,,letter_analogy_succ
5,5,k l m n,k l m o,i j k l,i j k m,,letter_analogy_succ
6,6,u v w x,u v w y,j k l m,j k l n,,letter_analogy_succ
7,7,p q r s,p q r t,l m n o,l m n p,,letter_analogy_succ
8,8,t u v w,t u v x,d e f g,d e f h,,letter_analogy_succ
9,9,c d e f,c d e g,p q r s,p q r t,,letter_analogy_succ
10,10,e f g h,e f g i,g h i j,g h i k,,letter_analogy_succ
11,11,m n o p,m n o q,d e f g,d e f h,,letter_analogy_succ
12,12,k l m n,k l m o,v w x y,v w x z,,letter_analogy_succ
13,13,m n o p,m n o q,s t u v,s t u w,,letter_analogy_succ
14,14,d e f g,d e f h,e f g h,e f g i,,letter_analogy_succ
15,15,i j k l,i j k m,k l m n,k l m o,,letter_analogy_succ
16,16,f g h i,f g h j,g h i j,g h i k,,letter_analogy_succ
17,17,h i j k,h i j l,s t u v,s t u w,,letter_analogy_succ
18,18,c d e f,c d e g,n o p q,n o p r,,letter_analogy_succ
19,19,g h i j,g h i k,t u v w,t u v x,,letter_analogy_succ
20,20,o p q r,o p q s,l m n o,l m n p,,letter_analogy_succ
21,21,f g h i,f g h j,j k l m,j k l n,,letter_analogy_succ
22,22,h i j k,h i j l,o p q r,o p q s,,letter_analogy_succ
23,23,d e f g,d e f h,c d e f,c d e g,,letter_analogy_succ
24,24,h i j k,h i j l,a b c d,a b c e,,letter_analogy_succ
25,25,r s t u,r s t v,v w x y,v w x z,,letter_analogy_succ
26,26,b c d e,b c d f,c d e f,c d e g,,letter_analogy_succ
27,27,n o p q,n o p r,s t u v,s t u w,,letter_analogy_succ
28,28,j k l m,j k l n,i j k l,i j k m,,letter_analogy_succ
29,29,l m n o,l m n p,c d e f,c d e g,,letter_analogy_succ
30,30,k l m n,k l m o,l m n o,l m n p,,letter_analogy_succ
31,31,h i j k,h i j l,g h i j,g h i k,,letter_analogy_succ
32,32,c d e f,c d e g,l m n o,l m n p,,letter_analogy_succ
33,33,k l m n,k l m o,e f g h,e f g i,,letter_analogy_succ
34,34,n o p q,n o p r,l m n o,l m n p,,letter_analogy_succ
35,35,c d e f,c d e g,s t u v,s t u w,,letter_analogy_succ
36,36,t u v w,t u v x,g h i j,g h i k,,letter_analogy_succ
37,37,r s t u,r s t v,d e f g,d e f h,,letter_analogy_succ
38,38,c d e f,c d e g,g h i j,g h i k,,letter_analogy_succ
39,39,i j k l,i j k m,d e f g,d e f h,,letter_analogy_succ
40,40,b c d e,b c d f,j k l m,j k l n,,letter_analogy_succ
41,41,h i j k,h i j l,m n o p,m n o q,,letter_analogy_succ
42,42,h i j k,h i j l,t u v w,t u v x,,letter_analogy_succ
43,43,d e f g,d e f h,p q r s,p q r t,,letter_analogy_succ
44,44,o p q r,o p q s,i j k l,i j k m,,letter_analogy_succ
45,45,b c d e,b c d f,h i j k,h i j l,,letter_analogy_succ
46,46,u v w x,u v w y,f g h i,f g h j,,letter_analogy_succ
47,47,m n o p,m n o q,t u v w,t u v x,,letter_analogy_succ
48,48,h i j k,h i j l,j k l m,j k l n,,letter_analogy_succ
49,49,j k l m,j k l n,k l m n,k l m o,,letter_analogy_succ
50,50,m n o p,m n o q,v w x y,v w x z,,letter_analogy_succ
51,51,p q r s,p q r t,q r s t,q r s u,,letter_analogy_succ
52,52,n o p q,n o p r,v w x y,v w x z,,letter_analogy_succ
53,53,j k l m,j k l n,c d e f,c d e g,,letter_analogy_succ
54,54,e f g h,e f g i,t u v w,t u v x,,letter_analogy_succ
55,55,b c d e,b c d f,k l m n,k l m o,,letter_analogy_succ
56,56,u v w x,u v w y,m n o p,m n o q,,letter_analogy_succ
57,57,i j k l,i j k m,a b c d,a b c e,,letter_analogy_succ
58,58,d e f g,d e f h,t u v w,t u v x,,letter_analogy_succ
59,59,u v w x,u v w y,r s t u,r s t v,,letter_analogy_succ
60,60,p q r s,p q r t,m n o p,m n o q,,letter_analogy_succ
61,61,g h i j,g h i k,q r s t,q r s u,,letter_analogy_succ
62,62,g h i j,g h i k,n o p q,n o p r,,letter_analogy_succ
63,63,s t u v,s t u w,r s t u,r s t v,,letter_analogy_succ
64,64,i j k l,i j k m,v w x y,v w x z,,letter_analogy_succ
65,65,k l m n,k l m o,f g h i,f g h j,,letter_analogy_succ
66,66,r s t u,r s t v,q r s t,q r s u,,letter_analogy_succ
67,67,s t u v,s t u w,e f g h,e f g i,,letter_analogy_succ
68,68,s t u v,s t u w,p q r s,p q r t,,letter_analogy_succ
69,69,k l m n,k l m o,b c d e,b c d f,,letter_analogy_succ
70,70,g h i j,g h i k,l m n o,l m n p,,letter_analogy_succ
71,71,g h i j,g h i k,v w x y,v w x z,,letter_analogy_succ
72,72,i j k l,i j k m,f g h i,f g h j,,letter_analogy_succ
73,73,s t u v,s t u w,j k l m,j k l n,,letter_analogy_succ
74,74,p q r s,p q r t,r s t u,r s t v,,letter_analogy_succ
75,75,s t u v,s t u w,v w x y,v w x z,,letter_analogy_succ
76,76,q r s t,q r s u,i j k l,i j k m,,letter_analogy_succ
77,77,f g h i,f g h j,a b c d,a b c e,,letter_analogy_succ
78,78,l m n o,l m n p,g h i j,g h i k,,letter_analogy_succ
79,79,r s t u,r s t v,o p q r,o p q s,,letter_analogy_succ
80,80,t u v w,t u v x,v w x y,v w x z,,letter_analogy_succ
81,81,m n o p,m n o q,k l m n,k l m o,,letter_analogy_succ
82,82,t u v w,t u v x,a b c d,a b c e,,letter_analogy_succ
83,83,s t u v,s t u w,h i j k,h i j l,,letter_analogy_succ
84,84,e f g h,e f g i,f g h i,f g h j,,letter_analogy_succ
85,85,v w x y,v w x z,u v w x,u v w y,,letter_analogy_succ
86,86,a b c d,a b c e,t u v w,t u v x,,letter_analogy_succ
87,87,i j k l,i j k m,s t u v,s t u w,,letter_analogy_succ
88,88,g h i j,g h i k,d e f g,d e f h,,letter_analogy_succ
89,89,h i j k,h i j l,v w x y,v w x z,,letter_analogy_succ
90,90,l m n o,l m n p,j k l m,j k l n,,letter_analogy_succ
91,91,m n o p,m n o q,i j k l,i j k m,,letter_analogy_succ
92,92,d e f g,d e f h,i j k l,i j k m,,letter_analogy_succ
93,93,a b c d,a b c e,m n o p,m n o q,,letter_analogy_succ
94,94,a b c d,a b c e,g h i j,g h i k,,letter_analogy_succ
95,95,p q r s,p q r t,b c d e,b c d f,,letter_analogy_succ
96,96,r s t u,r s t v,n o p q,n o p r,,letter_analogy_succ
97,97,k l m n,k l m o,m n o p,m n o q,,letter_analogy_succ
98,98,v w x y,v w x z,b c d e,b c d f,,letter_analogy_succ
99,99,e f g h,e f g i,i j k l,i j k m,,letter_analogy_succ
